team1,team2,win
pet-duck,pet-fish,1
pet-duck,pet-horse,0
pet-duck,pet-ladybug,2
pet-duck,pet-mosquito,1
pet-duck,pet-otter,0
pet-duck,pet-pig,2
pet-duck,pet-sloth,0
pet-duck,pet-bat,1
pet-duck,pet-crab,1
pet-duck,pet-dodo,1
pet-duck,pet-dog,2
pet-duck,pet-dromedary,1
pet-duck,pet-elephant,1
pet-duck,pet-flamingo,2
pet-duck,pet-hedgehog,1
pet-duck,pet-peacock,1
pet-duck,pet-rat,1
pet-duck,pet-shrimp,1
pet-duck,pet-spider,1
pet-duck,pet-swan,2
pet-duck,pet-tabby-cat,1
pet-duck,pet-badger,1
pet-duck,pet-blowfish,1
pet-duck,pet-caterpillar,2
pet-duck,pet-camel,1
pet-duck,pet-hatching-chick,0
pet-duck,pet-giraffe,1
pet-duck,pet-kangaroo,0
pet-duck,pet-owl,1
pet-duck,pet-ox,1
pet-duck,pet-puppy,0
pet-duck,pet-rabbit,1
pet-duck,pet-sheep,1
pet-duck,pet-snail,2
pet-duck,pet-tropical-fish,1
pet-duck,pet-turtle,0
pet-duck,pet-whale,1
pet-duck,pet-bison,1
pet-duck,pet-buffalo,1
pet-duck,pet-deer,1
pet-duck,pet-dolphin,1
pet-duck,pet-hippo,1
pet-duck,pet-llama,1
pet-duck,pet-lobster,1
pet-duck,pet-monkey,0
pet-duck,pet-penguin,0
pet-duck,pet-poodle,2
pet-duck,pet-rooster,1
pet-duck,pet-skunk,1
pet-duck,pet-squirrel,2
pet-duck,pet-worm,2
pet-duck,pet-chicken,0
pet-duck,pet-cow,1
pet-duck,pet-crocodile,1
pet-duck,pet-eagle,1
pet-duck,pet-goat,1
pet-duck,pet-microbe,0
pet-duck,pet-parrot,1
pet-duck,pet-rhino,1
pet-duck,pet-scorpion,2
pet-duck,pet-seal,1
pet-duck,pet-turkey,1
pet-duck,pet-cat,1
pet-duck,pet-boar,1
pet-duck,pet-dragon,1
pet-duck,pet-fly,1
pet-duck,pet-gorilla,1
pet-duck,pet-leopard,1
pet-duck,pet-mammoth,1
pet-duck,pet-octopus,1
pet-duck,pet-sauropod,1
pet-duck,pet-snake,1
pet-duck,pet-tiger,1
pet-duck,pet-tyrannosaurus,1
pet-duck,pet-dirty-rat,0
pet-duck,pet-butterfly,2
pet-duck,pet-bee,0
pet-duck,pet-none,0
pet-fish,pet-fish,2
pet-fish,pet-horse,0
pet-fish,pet-ladybug,0
pet-fish,pet-mosquito,2
pet-fish,pet-otter,0
pet-fish,pet-pig,2
pet-fish,pet-sloth,0
pet-fish,pet-bat,2
pet-fish,pet-crab,1
pet-fish,pet-dodo,2
pet-fish,pet-dog,0
pet-fish,pet-dromedary,2
pet-fish,pet-elephant,1
pet-fish,pet-flamingo,2
pet-fish,pet-hedgehog,2
pet-fish,pet-peacock,1
pet-fish,pet-rat,1
pet-fish,pet-shrimp,2
pet-fish,pet-spider,2
pet-fish,pet-swan,0
pet-fish,pet-tabby-cat,1
pet-fish,pet-badger,1
pet-fish,pet-blowfish,1
pet-fish,pet-caterpillar,0
pet-fish,pet-camel,1
pet-fish,pet-hatching-chick,0
pet-fish,pet-giraffe,1
pet-fish,pet-kangaroo,0
pet-fish,pet-owl,1
pet-fish,pet-ox,0
pet-fish,pet-puppy,0
pet-fish,pet-rabbit,2
pet-fish,pet-sheep,1
pet-fish,pet-snail,0
pet-fish,pet-tropical-fish,2
pet-fish,pet-turtle,0
pet-fish,pet-whale,1
pet-fish,pet-bison,1
pet-fish,pet-buffalo,1
pet-fish,pet-deer,1
pet-fish,pet-dolphin,1
pet-fish,pet-hippo,1
pet-fish,pet-llama,1
pet-fish,pet-lobster,1
pet-fish,pet-monkey,0
pet-fish,pet-penguin,0
pet-fish,pet-poodle,0
pet-fish,pet-rooster,1
pet-fish,pet-skunk,1
pet-fish,pet-squirrel,0
pet-fish,pet-worm,0
pet-fish,pet-chicken,0
pet-fish,pet-cow,1
pet-fish,pet-crocodile,1
pet-fish,pet-eagle,1
pet-fish,pet-goat,1
pet-fish,pet-microbe,0
pet-fish,pet-parrot,1
pet-fish,pet-rhino,1
pet-fish,pet-scorpion,2
pet-fish,pet-seal,1
pet-fish,pet-turkey,1
pet-fish,pet-cat,1
pet-fish,pet-boar,1
pet-fish,pet-dragon,1
pet-fish,pet-fly,1
pet-fish,pet-gorilla,1
pet-fish,pet-leopard,1
pet-fish,pet-mammoth,1
pet-fish,pet-octopus,1
pet-fish,pet-sauropod,1
pet-fish,pet-snake,1
pet-fish,pet-tiger,1
pet-fish,pet-tyrannosaurus,1
pet-fish,pet-dirty-rat,0
pet-fish,pet-butterfly,2
pet-fish,pet-bee,0
pet-fish,pet-none,0
pet-horse,pet-horse,2
pet-horse,pet-ladybug,1
pet-horse,pet-mosquito,1
pet-horse,pet-otter,2
pet-horse,pet-pig,2
pet-horse,pet-sloth,2
pet-horse,pet-bat,2
pet-horse,pet-crab,1
pet-horse,pet-dodo,1
pet-horse,pet-dog,2
pet-horse,pet-dromedary,1
pet-horse,pet-elephant,1
pet-horse,pet-flamingo,2
pet-horse,pet-hedgehog,2
pet-horse,pet-peacock,1
pet-horse,pet-rat,1
pet-horse,pet-shrimp,1
pet-horse,pet-spider,1
pet-horse,pet-swan,1
pet-horse,pet-tabby-cat,1
pet-horse,pet-badger,1
pet-horse,pet-blowfish,1
pet-horse,pet-caterpillar,1
pet-horse,pet-camel,1
pet-horse,pet-hatching-chick,2
pet-horse,pet-giraffe,1
pet-horse,pet-kangaroo,2
pet-horse,pet-owl,1
pet-horse,pet-ox,1
pet-horse,pet-puppy,2
pet-horse,pet-rabbit,2
pet-horse,pet-sheep,1
pet-horse,pet-snail,2
pet-horse,pet-tropical-fish,1
pet-horse,pet-turtle,2
pet-horse,pet-whale,1
pet-horse,pet-bison,1
pet-horse,pet-buffalo,1
pet-horse,pet-deer,1
pet-horse,pet-dolphin,1
pet-horse,pet-hippo,1
pet-horse,pet-llama,1
pet-horse,pet-lobster,1
pet-horse,pet-monkey,2
pet-horse,pet-penguin,2
pet-horse,pet-poodle,2
pet-horse,pet-rooster,1
pet-horse,pet-skunk,1
pet-horse,pet-squirrel,2
pet-horse,pet-worm,2
pet-horse,pet-chicken,2
pet-horse,pet-cow,1
pet-horse,pet-crocodile,1
pet-horse,pet-eagle,1
pet-horse,pet-goat,1
pet-horse,pet-microbe,2
pet-horse,pet-parrot,1
pet-horse,pet-rhino,1
pet-horse,pet-scorpion,2
pet-horse,pet-seal,1
pet-horse,pet-turkey,1
pet-horse,pet-cat,1
pet-horse,pet-boar,1
pet-horse,pet-dragon,1
pet-horse,pet-fly,1
pet-horse,pet-gorilla,1
pet-horse,pet-leopard,1
pet-horse,pet-mammoth,1
pet-horse,pet-octopus,1
pet-horse,pet-sauropod,1
pet-horse,pet-snake,1
pet-horse,pet-tiger,1
pet-horse,pet-tyrannosaurus,1
pet-horse,pet-dirty-rat,2
pet-horse,pet-butterfly,2
pet-horse,pet-bee,2
pet-horse,pet-none,0
pet-ladybug,pet-ladybug,2
pet-ladybug,pet-mosquito,1
pet-ladybug,pet-otter,0
pet-ladybug,pet-pig,2
pet-ladybug,pet-sloth,0
pet-ladybug,pet-bat,1
pet-ladybug,pet-crab,1
pet-ladybug,pet-dodo,1
pet-ladybug,pet-dog,2
pet-ladybug,pet-dromedary,1
pet-ladybug,pet-elephant,1
pet-ladybug,pet-flamingo,2
pet-ladybug,pet-hedgehog,1
pet-ladybug,pet-peacock,1
pet-ladybug,pet-rat,1
pet-ladybug,pet-shrimp,1
pet-ladybug,pet-spider,1
pet-ladybug,pet-swan,2
pet-ladybug,pet-tabby-cat,1
pet-ladybug,pet-badger,1
pet-ladybug,pet-blowfish,1
pet-ladybug,pet-caterpillar,2
pet-ladybug,pet-camel,1
pet-ladybug,pet-hatching-chick,0
pet-ladybug,pet-giraffe,1
pet-ladybug,pet-kangaroo,0
pet-ladybug,pet-owl,1
pet-ladybug,pet-ox,1
pet-ladybug,pet-puppy,0
pet-ladybug,pet-rabbit,1
