team1,team2,win,team1_tier,team2_tier
pet-sauropod.pet-horse.pet-dragon,pet-turtle.pet-parrot.pet-badger,0,13,10
pet-rat.pet-cricket.pet-duck,pet-owl.pet-horse.pet-dragon,1,4,10
pet-butterfly.pet-ladybug.pet-pig,pet-cat.pet-shrimp.pet-parrot,1,2,12
pet-eagle.pet-beaver.pet-whale,pet-fly.pet-beetle.pet-scorpion,0,10,12
pet-tyrannosaurus.pet-kangaroo.pet-gorilla,pet-deer.pet-cow.pet-goat,0,15,14
pet-dragon.pet-bison.pet-scorpion,pet-owl.pet-blowfish.pet-sloth,0,15,7
pet-flamingo.pet-monkey.pet-tiger,pet-spider.pet-kangaroo.pet-tiger,1,13,11
pet-gorilla.pet-snail.pet-sheep,pet-microbe.pet-ox.pet-buffalo,0,12,11
pet-sauropod.pet-spider.pet-owl,pet-mammoth.pet-rabbit.pet-squirrel,0,11,13
pet-hedgehog.pet-flamingo.pet-bluebird,pet-ox.pet-spider.pet-mosquito,1,5,6
pet-fly.pet-bee.pet-dragon,pet-flamingo.pet-sheep.pet-dodo,0,12,7
pet-whale.pet-blowfish.pet-bat,pet-crab.pet-worm.pet-crab,0,9,8
pet-cricket.pet-squirrel.pet-dromedary,pet-whale.pet-penguin.pet-dodo,1,7,10
pet-eagle.pet-caterpillar.pet-snake,pet-horse.pet-cat.pet-octopus,0,14,13
pet-otter.pet-puppy.pet-lobster,pet-poodle.pet-otter.pet-snail,0,8,9
pet-skunk.pet-bison.pet-caterpillar,pet-hedgehog.pet-poodle.pet-ox,0,11,10
pet-swan.pet-fish.pet-scorpion,pet-tabby-cat.pet-cat.pet-boar,1,8,14
pet-kangaroo.pet-mosquito.pet-rat,pet-puppy.pet-boar.pet-seal,1,6,14
pet-fly.pet-sheep.pet-dodo,pet-hedgehog.pet-kangaroo.pet-whale,0,11,9
pet-kangaroo.pet-scorpion.pet-otter,pet-blowfish.pet-mosquito.pet-duck,1,9,5
pet-flamingo.pet-whale.pet-puppy,pet-sheep.pet-snake.pet-deer,1,9,13
pet-dromedary.pet-turkey.pet-rhino,pet-snail.pet-dodo.pet-whale,0,12,9
pet-crab.pet-mammoth.pet-skunk,pet-crab.pet-gorilla.pet-leopard,1,12,14
pet-turkey.pet-gorilla.pet-tabby-cat,pet-dodo.pet-penguin.pet-squirrel,0,13,10
pet-sloth.pet-chicken.pet-sloth,pet-monkey.pet-mammoth.pet-scorpion,1,7,16
pet-parrot.pet-tabby-cat.pet-kangaroo,pet-sloth.pet-elephant.pet-dodo,0,9,5
pet-blowfish.pet-crocodile.pet-lobster,pet-snail.pet-dirty-rat.pet-seal,0,12,8
pet-sloth.pet-fish.pet-dodo,pet-hatching-chick.pet-goat.pet-shrimp,1,4,10
pet-buffalo.pet-llama.pet-bat,pet-butterfly.pet-goat.pet-tiger,1,10,11
pet-buffalo.pet-spider.pet-skunk,pet-cricket.pet-tiger.pet-parrot,0,10,11
pet-monkey.pet-boar.pet-skunk,pet-cow.pet-microbe.pet-penguin,0,15,13
pet-whale.pet-ladybug.pet-octopus,pet-crocodile.pet-seal.pet-owl,1,11,13
pet-hatching-chick.pet-seal.pet-poodle,pet-dirty-rat.pet-elephant.pet-octopus,1,13,8
pet-leopard.pet-swan.pet-rabbit,pet-octopus.pet-owl.pet-tiger,2,11,15
pet-rat.pet-puppy.pet-squirrel,pet-crocodile.pet-hedgehog.pet-squirrel,1,9,11
pet-fly.pet-dolphin.pet-dragon,pet-pig.pet-beetle.pet-boar,0,16,8
pet-parrot.pet-sheep.pet-shrimp,pet-hedgehog.pet-rabbit.pet-otter,0,9,6
pet-fly.pet-microbe.pet-monkey,pet-puppy.pet-poodle.pet-boar,0,15,14
pet-llama.pet-spider.pet-peacock,pet-flamingo.pet-rhino.pet-puppy,1,8,10
pet-tabby-cat.pet-hedgehog.pet-puppy,pet-shrimp.pet-deer.pet-butterfly,1,7,6
pet-llama.pet-flamingo.pet-badger,pet-sloth.pet-butterfly.pet-turkey,0,9,6
pet-monkey.pet-horse.pet-butterfly,pet-lobster.pet-dragon.pet-hatching-chick,1,6,13
pet-poodle.pet-pig.pet-flamingo,pet-bat.pet-rhino.pet-monkey,1,8,12
